date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
22nd Aug,SHREEPUSHK,334.50,-66.67,-101.47,-102.47,-140.72,-29.45,29.79,47.58,56.25,381.26
22nd Aug,DMCC,333,-66.67,-109.09,-20.71,88.58,111.06,132.69,157.58,100.62,308.78
22nd Aug,SAKAR,332,66.67,94.96,130.09,-47.23,-28.81,23.75,52.26,64.85,344.48
22nd Aug,SURAJLTD,330.75,-66.67,-116.07,-157.21,-113.12,-150.27,-173.99,-174.66,-152.67,363.01
22nd Aug,IRIS,329.95,-66.67,-2.45,-49.24,-134.98,0.309,21.69,-2.52,-27.16,348.07
22nd Aug,MOIL,329.75,-66.67,-75.28,30.78,-67.34,-125.79,-86.55,-50.37,-33.38,344.62
22nd Aug,KSOLVES,329.55,66.67,69.62,142.94,0.619,-31.68,-48.31,-57.43,-67.45,305.99
22nd Aug,PPL,328.40,-66.67,-38.91,-51.83,-129.03,-173.96,-190.86,-219.09,-225.03,309.11
22nd Aug,NIITMTS,328.10,-66.67,-41.75,66.85,-1.50,-51.56,-71.41,-74.13,-78.18,336.68
22nd Aug,LOYALTEX,327.45,66.67,34.71,-42.35,-120.11,-0.654,27.90,62.79,67.56,348.39
22nd Aug,GOKULAGRO,327,-66.67,35.45,95.38,124.25,130.77,108.77,121.15,112.28,302.86
22nd Aug,MAHLOG,326.40,66.67,47.74,-10.01,-59.75,-63.05,-23.69,23,10.70,341.52
22nd Aug,TARSONS,326.35,-66.67,-81.43,-105.32,-166.23,-255.70,-261.54,-95.06,-86.63,356.65
22nd Aug,SAPPHIRE,326.25,-66.67,43.55,97.86,11.76,14.86,37.17,57.39,68.50,330.91
22nd Aug,PDSL,325.65,-66.67,-107.56,1.64,-78.59,-125.83,-164.97,-181.00,-164.89,343.89
22nd Aug,DDEVPLSTIK,325.05,-66.67,-94.89,40.09,77.49,118.89,146.47,159.59,177.96,301.06
22nd Aug,JKTYRE,324.95,-66.67,-122.42,26.69,-60.09,-108.58,-66.60,-7.55,-1.02,333.85
22nd Aug,RAJRATAN,324.85,-66.67,-114.50,-56.51,-95.16,-164.78,-179.71,-73.82,-93.15,354.86
22nd Aug,TRF,323.85,-66.67,9.86,47.75,-65.38,-119.36,-163.80,-117.37,-119.07,339.55
22nd Aug,RVNL,323.75,-66.67,-83.17,-76.45,-106.23,-141.73,-140.86,-116.92,-124.41,345.35
22nd Aug,IIFLCAPS,322.45,-66.67,-84.37,45.91,43.29,-25.51,41.55,60.54,75.33,300.96
22nd Aug,JIOFIN,320.60,-66.67,-98.91,-122.85,-10.19,39.39,67.14,80.33,95.03,319.23
22nd Aug,STERTOOLS,320,-66.67,-23.81,74.25,-56.76,-103.52,-54.52,-43.99,-60.89,331.49
22nd Aug,WINDMACHIN,319.25,-66.67,-116.25,-51.29,-84.06,-121.60,-94.64,-31.86,-15.87,345.03
22nd Aug,ETERNAL,319.10,-66.67,-39.17,57.54,92.36,118.62,158.30,171.55,196.29,307.71
22nd Aug,MMFL,318.70,-66.67,58.52,131.18,-61.77,-122.67,-146.78,-142.27,-133.28,321.05
22nd Aug,SURAJEST,318.60,-66.67,55.19,122.94,86.97,-8.06,14.16,26.72,-17.59,305.89
22nd Aug,STARTECK,318,-66.67,1.93,-70.81,51.47,102.31,126.97,139.86,150.66,302.40
22nd Aug,CROMPTON,316.70,-66.67,-113.45,-45.57,-79.36,-119.26,-130.04,-134.19,-140.24,330.92
22nd Aug,BPCL,316.45,-66.67,-106.83,-80.29,-75.10,-59.70,-29.70,26.32,43.60,326.67
22nd Aug,ALLTIME,315.25,66.67,116.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22nd Aug,STYLEBAAZA,314.95,-66.67,-133.33,18.04,98.97,117.50,91.90,90.33,93.56,293.91
22nd Aug,LIBERTSHOE,314.85,-66.67,-69.35,27.50,-76.13,-125.60,-156.47,-90.07,-102.92,331.05
22nd Aug,SRGHFL,314.80,-66.67,-67.74,-67.79,-92.63,-57.39,-34.77,-18.37,-29.87,304.89
